Station;Culture_start;Assay_start;Original_sal;Treatment_sal;Replicate;Time;Active
SW08;2022-08-31;2023-04-11;12.2;0.1;1;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;2;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;2;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;3;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;1;1;2;1
SW08;2022-08-31;2023-04-11;12.2;1;1;2;1
SW08;2022-08-31;2023-04-11;12.2;1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;1;1;2;0
SW08;2022-08-31;2023-04-11;12.2;1;2;2;1
SW08;2022-08-31;2023-04-11;12.2;1;2;2;1
SW08;2022-08-31;2023-04-11;12.2;1;2;2;1
SW08;2022-08-31;2023-04-11;12.2;1;2;2;0
SW08;2022-08-31;2023-04-11;12.2;1;2;2;0
SW08;2022-08-31;2023-04-11;12.2;1;3;2;1
SW08;2022-08-31;2023-04-11;12.2;1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;1;3;2;0
SW08;2022-08-31;2023-04-11;12.2;2;1;2;1
SW08;2022-08-31;2023-04-11;12.2;2;1;2;1
SW08;2022-08-31;2023-04-11;12.2;2;1;2;1
SW08;2022-08-31;2023-04-11;12.2;2;1;2;1
SW08;2022-08-31;2023-04-11;12.2;2;1;2;1
SW08;2022-08-31;2023-04-11;12.2;2;2;2;1
SW08;2022-08-31;2023-04-11;12.2;2;2;2;1
SW08;2022-08-31;2023-04-11;12.2;2;2;2;1
SW08;2022-08-31;2023-04-11;12.2;2;2;2;1
SW08;2022-08-31;2023-04-11;12.2;2;2;2;1
SW08;2022-08-31;2023-04-11;12.2;2;3;2;1
SW08;2022-08-31;2023-04-11;12.2;2;3;2;1
SW08;2022-08-31;2023-04-11;12.2;2;3;2;1
SW08;2022-08-31;2023-04-11;12.2;2;3;2;1
SW08;2022-08-31;2023-04-11;12.2;2;3;2;1
SW08;2022-08-31;2023-04-11;12.2;3;1;2;1
SW08;2022-08-31;2023-04-11;12.2;3;1;2;1
SW08;2022-08-31;2023-04-11;12.2;3;1;2;1
SW08;2022-08-31;2023-04-11;12.2;3;1;2;1
SW08;2022-08-31;2023-04-11;12.2;3;1;2;1
SW08;2022-08-31;2023-04-11;12.2;3;2;2;1
SW08;2022-08-31;2023-04-11;12.2;3;2;2;1
SW08;2022-08-31;2023-04-11;12.2;3;2;2;1
SW08;2022-08-31;2023-04-11;12.2;3;2;2;1
SW08;2022-08-31;2023-04-11;12.2;3;2;2;1
SW08;2022-08-31;2023-04-11;12.2;3;3;2;1
SW08;2022-08-31;2023-04-11;12.2;3;3;2;1
SW08;2022-08-31;2023-04-11;12.2;3;3;2;1
SW08;2022-08-31;2023-04-11;12.2;3;3;2;1
SW08;2022-08-31;2023-04-11;12.2;3;3;2;1
SW08;2022-08-31;2023-04-11;12.2;5;1;2;1
SW08;2022-08-31;2023-04-11;12.2;5;1;2;1
SW08;2022-08-31;2023-04-11;12.2;5;1;2;1
SW08;2022-08-31;2023-04-11;12.2;5;1;2;1
SW08;2022-08-31;2023-04-11;12.2;5;1;2;1
SW08;2022-08-31;2023-04-11;12.2;5;2;2;1
SW08;2022-08-31;2023-04-11;12.2;5;2;2;1
SW08;2022-08-31;2023-04-11;12.2;5;2;2;1
SW08;2022-08-31;2023-04-11;12.2;5;2;2;1
SW08;2022-08-31;2023-04-11;12.2;5;2;2;1
SW08;2022-08-31;2023-04-11;12.2;5;3;2;1
SW08;2022-08-31;2023-04-11;12.2;5;3;2;1
SW08;2022-08-31;2023-04-11;12.2;5;3;2;1
SW08;2022-08-31;2023-04-11;12.2;5;3;2;1
SW08;2022-08-31;2023-04-11;12.2;5;3;2;1
SW08;2022-08-31;2023-04-11;12.2;15;1;2;1
SW08;2022-08-31;2023-04-11;12.2;15;1;2;1
SW08;2022-08-31;2023-04-11;12.2;15;1;2;1
SW08;2022-08-31;2023-04-11;12.2;15;1;2;1
SW08;2022-08-31;2023-04-11;12.2;15;1;2;1
SW08;2022-08-31;2023-04-11;12.2;15;2;2;1
SW08;2022-08-31;2023-04-11;12.2;15;2;2;1
SW08;2022-08-31;2023-04-11;12.2;15;2;2;1
SW08;2022-08-31;2023-04-11;12.2;15;2;2;1
SW08;2022-08-31;2023-04-11;12.2;15;2;2;1
SW08;2022-08-31;2023-04-11;12.2;15;3;2;1
SW08;2022-08-31;2023-04-11;12.2;15;3;2;1
SW08;2022-08-31;2023-04-11;12.2;15;3;2;1
SW08;2022-08-31;2023-04-11;12.2;15;3;2;1
SW08;2022-08-31;2023-04-11;12.2;15;3;2;1
SW08;2022-08-31;2023-04-11;12.2;0.1;1;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;24;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;24;0
SW08;2022-08-31;2023-04-11;12.2;1;1;24;0
SW08;2022-08-31;2023-04-11;12.2;1;1;24;0
SW08;2022-08-31;2023-04-11;12.2;1;1;24;0
SW08;2022-08-31;2023-04-11;12.2;1;1;24;0
SW08;2022-08-31;2023-04-11;12.2;1;1;24;0
SW08;2022-08-31;2023-04-11;12.2;1;2;24;1
SW08;2022-08-31;2023-04-11;12.2;1;2;24;1
SW08;2022-08-31;2023-04-11;12.2;1;2;24;0
SW08;2022-08-31;2023-04-11;12.2;1;2;24;0
SW08;2022-08-31;2023-04-11;12.2;1;2;24;0
SW08;2022-08-31;2023-04-11;12.2;1;3;24;1
SW08;2022-08-31;2023-04-11;12.2;1;3;24;0
SW08;2022-08-31;2023-04-11;12.2;1;3;24;0
SW08;2022-08-31;2023-04-11;12.2;1;3;24;0
SW08;2022-08-31;2023-04-11;12.2;1;3;24;0
SW08;2022-08-31;2023-04-11;12.2;2;1;24;1
SW08;2022-08-31;2023-04-11;12.2;2;1;24;1
SW08;2022-08-31;2023-04-11;12.2;2;1;24;1
SW08;2022-08-31;2023-04-11;12.2;2;1;24;1
SW08;2022-08-31;2023-04-11;12.2;2;1;24;0
SW08;2022-08-31;2023-04-11;12.2;2;2;24;1
SW08;2022-08-31;2023-04-11;12.2;2;2;24;1
SW08;2022-08-31;2023-04-11;12.2;2;2;24;1
SW08;2022-08-31;2023-04-11;12.2;2;2;24;1
SW08;2022-08-31;2023-04-11;12.2;2;2;24;1
SW08;2022-08-31;2023-04-11;12.2;2;3;24;1
SW08;2022-08-31;2023-04-11;12.2;2;3;24;1
SW08;2022-08-31;2023-04-11;12.2;2;3;24;1
SW08;2022-08-31;2023-04-11;12.2;2;3;24;1
SW08;2022-08-31;2023-04-11;12.2;2;3;24;1
SW08;2022-08-31;2023-04-11;12.2;3;1;24;1
SW08;2022-08-31;2023-04-11;12.2;3;1;24;1
SW08;2022-08-31;2023-04-11;12.2;3;1;24;1
SW08;2022-08-31;2023-04-11;12.2;3;1;24;1
SW08;2022-08-31;2023-04-11;12.2;3;1;24;1
SW08;2022-08-31;2023-04-11;12.2;3;2;24;1
SW08;2022-08-31;2023-04-11;12.2;3;2;24;1
SW08;2022-08-31;2023-04-11;12.2;3;2;24;1
SW08;2022-08-31;2023-04-11;12.2;3;2;24;1
SW08;2022-08-31;2023-04-11;12.2;3;2;24;1
SW08;2022-08-31;2023-04-11;12.2;3;3;24;1
SW08;2022-08-31;2023-04-11;12.2;3;3;24;1
SW08;2022-08-31;2023-04-11;12.2;3;3;24;1
SW08;2022-08-31;2023-04-11;12.2;3;3;24;1
SW08;2022-08-31;2023-04-11;12.2;3;3;24;1
SW08;2022-08-31;2023-04-11;12.2;5;1;24;1
SW08;2022-08-31;2023-04-11;12.2;5;1;24;1
SW08;2022-08-31;2023-04-11;12.2;5;1;24;1
SW08;2022-08-31;2023-04-11;12.2;5;1;24;1
SW08;2022-08-31;2023-04-11;12.2;5;1;24;1
SW08;2022-08-31;2023-04-11;12.2;5;2;24;1
SW08;2022-08-31;2023-04-11;12.2;5;2;24;1
SW08;2022-08-31;2023-04-11;12.2;5;2;24;1
SW08;2022-08-31;2023-04-11;12.2;5;2;24;1
SW08;2022-08-31;2023-04-11;12.2;5;2;24;1
SW08;2022-08-31;2023-04-11;12.2;5;3;24;1
SW08;2022-08-31;2023-04-11;12.2;5;3;24;1
SW08;2022-08-31;2023-04-11;12.2;5;3;24;1
SW08;2022-08-31;2023-04-11;12.2;5;3;24;1
SW08;2022-08-31;2023-04-11;12.2;5;3;24;1
SW08;2022-08-31;2023-04-11;12.2;15;1;24;1
SW08;2022-08-31;2023-04-11;12.2;15;1;24;1
SW08;2022-08-31;2023-04-11;12.2;15;1;24;1
SW08;2022-08-31;2023-04-11;12.2;15;1;24;1
SW08;2022-08-31;2023-04-11;12.2;15;1;24;1
SW08;2022-08-31;2023-04-11;12.2;15;2;24;1
SW08;2022-08-31;2023-04-11;12.2;15;2;24;1
SW08;2022-08-31;2023-04-11;12.2;15;2;24;1
SW08;2022-08-31;2023-04-11;12.2;15;2;24;1
SW08;2022-08-31;2023-04-11;12.2;15;2;24;1
SW08;2022-08-31;2023-04-11;12.2;15;3;24;1
SW08;2022-08-31;2023-04-11;12.2;15;3;24;1
SW08;2022-08-31;2023-04-11;12.2;15;3;24;1
SW08;2022-08-31;2023-04-11;12.2;15;3;24;1
SW08;2022-08-31;2023-04-11;12.2;15;3;24;1
SW08;2022-08-31;2023-04-11;12.2;0.1;1;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;48;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;48;0
SW08;2022-08-31;2023-04-11;12.2;1;1;48;0
SW08;2022-08-31;2023-04-11;12.2;1;1;48;0
SW08;2022-08-31;2023-04-11;12.2;1;1;48;0
SW08;2022-08-31;2023-04-11;12.2;1;1;48;0
SW08;2022-08-31;2023-04-11;12.2;1;1;48;0
SW08;2022-08-31;2023-04-11;12.2;1;2;48;1
SW08;2022-08-31;2023-04-11;12.2;1;2;48;1
SW08;2022-08-31;2023-04-11;12.2;1;2;48;0
SW08;2022-08-31;2023-04-11;12.2;1;2;48;0
SW08;2022-08-31;2023-04-11;12.2;1;2;48;0
SW08;2022-08-31;2023-04-11;12.2;1;3;48;1
SW08;2022-08-31;2023-04-11;12.2;1;3;48;0
SW08;2022-08-31;2023-04-11;12.2;1;3;48;0
SW08;2022-08-31;2023-04-11;12.2;1;3;48;0
SW08;2022-08-31;2023-04-11;12.2;1;3;48;0
SW08;2022-08-31;2023-04-11;12.2;2;1;48;1
SW08;2022-08-31;2023-04-11;12.2;2;1;48;1
SW08;2022-08-31;2023-04-11;12.2;2;1;48;1
SW08;2022-08-31;2023-04-11;12.2;2;1;48;0
SW08;2022-08-31;2023-04-11;12.2;2;1;48;0
SW08;2022-08-31;2023-04-11;12.2;2;2;48;1
SW08;2022-08-31;2023-04-11;12.2;2;2;48;1
SW08;2022-08-31;2023-04-11;12.2;2;2;48;1
SW08;2022-08-31;2023-04-11;12.2;2;2;48;1
SW08;2022-08-31;2023-04-11;12.2;2;2;48;0
SW08;2022-08-31;2023-04-11;12.2;2;3;48;1
SW08;2022-08-31;2023-04-11;12.2;2;3;48;1
SW08;2022-08-31;2023-04-11;12.2;2;3;48;1
SW08;2022-08-31;2023-04-11;12.2;2;3;48;1
SW08;2022-08-31;2023-04-11;12.2;2;3;48;1
SW08;2022-08-31;2023-04-11;12.2;3;1;48;1
SW08;2022-08-31;2023-04-11;12.2;3;1;48;1
SW08;2022-08-31;2023-04-11;12.2;3;1;48;1
SW08;2022-08-31;2023-04-11;12.2;3;1;48;1
SW08;2022-08-31;2023-04-11;12.2;3;1;48;1
SW08;2022-08-31;2023-04-11;12.2;3;2;48;1
SW08;2022-08-31;2023-04-11;12.2;3;2;48;1
SW08;2022-08-31;2023-04-11;12.2;3;2;48;1
SW08;2022-08-31;2023-04-11;12.2;3;2;48;1
SW08;2022-08-31;2023-04-11;12.2;3;2;48;1
SW08;2022-08-31;2023-04-11;12.2;3;3;48;1
SW08;2022-08-31;2023-04-11;12.2;3;3;48;1
SW08;2022-08-31;2023-04-11;12.2;3;3;48;1
SW08;2022-08-31;2023-04-11;12.2;3;3;48;1
SW08;2022-08-31;2023-04-11;12.2;3;3;48;1
SW08;2022-08-31;2023-04-11;12.2;5;1;48;1
SW08;2022-08-31;2023-04-11;12.2;5;1;48;1
SW08;2022-08-31;2023-04-11;12.2;5;1;48;1
SW08;2022-08-31;2023-04-11;12.2;5;1;48;1
SW08;2022-08-31;2023-04-11;12.2;5;1;48;1
SW08;2022-08-31;2023-04-11;12.2;5;2;48;1
SW08;2022-08-31;2023-04-11;12.2;5;2;48;1
SW08;2022-08-31;2023-04-11;12.2;5;2;48;1
SW08;2022-08-31;2023-04-11;12.2;5;2;48;1
SW08;2022-08-31;2023-04-11;12.2;5;2;48;1
SW08;2022-08-31;2023-04-11;12.2;5;3;48;1
SW08;2022-08-31;2023-04-11;12.2;5;3;48;1
SW08;2022-08-31;2023-04-11;12.2;5;3;48;1
SW08;2022-08-31;2023-04-11;12.2;5;3;48;1
SW08;2022-08-31;2023-04-11;12.2;5;3;48;1
SW08;2022-08-31;2023-04-11;12.2;15;1;48;1
SW08;2022-08-31;2023-04-11;12.2;15;1;48;1
SW08;2022-08-31;2023-04-11;12.2;15;1;48;1
SW08;2022-08-31;2023-04-11;12.2;15;1;48;1
SW08;2022-08-31;2023-04-11;12.2;15;1;48;1
SW08;2022-08-31;2023-04-11;12.2;15;2;48;1
SW08;2022-08-31;2023-04-11;12.2;15;2;48;1
SW08;2022-08-31;2023-04-11;12.2;15;2;48;1
SW08;2022-08-31;2023-04-11;12.2;15;2;48;1
SW08;2022-08-31;2023-04-11;12.2;15;2;48;1
SW08;2022-08-31;2023-04-11;12.2;15;3;48;1
SW08;2022-08-31;2023-04-11;12.2;15;3;48;1
SW08;2022-08-31;2023-04-11;12.2;15;3;48;1
SW08;2022-08-31;2023-04-11;12.2;15;3;48;1
SW08;2022-08-31;2023-04-11;12.2;15;3;48;1
SW08;2022-08-31;2023-04-11;12.2;0.1;1;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;1;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;2;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;72;0
SW08;2022-08-31;2023-04-11;12.2;0.1;3;72;0
SW08;2022-08-31;2023-04-11;12.2;1;1;72;0
SW08;2022-08-31;2023-04-11;12.2;1;1;72;0
SW08;2022-08-31;2023-04-11;12.2;1;1;72;0
SW08;2022-08-31;2023-04-11;12.2;1;1;72;0
SW08;2022-08-31;2023-04-11;12.2;1;1;72;0
SW08;2022-08-31;2023-04-11;12.2;1;2;72;1
SW08;2022-08-31;2023-04-11;12.2;1;2;72;0
SW08;2022-08-31;2023-04-11;12.2;1;2;72;0
SW08;2022-08-31;2023-04-11;12.2;1;2;72;0
SW08;2022-08-31;2023-04-11;12.2;1;2;72;0
SW08;2022-08-31;2023-04-11;12.2;1;3;72;1
SW08;2022-08-31;2023-04-11;12.2;1;3;72;0
SW08;2022-08-31;2023-04-11;12.2;1;3;72;0
SW08;2022-08-31;2023-04-11;12.2;1;3;72;0
SW08;2022-08-31;2023-04-11;12.2;1;3;72;0
SW08;2022-08-31;2023-04-11;12.2;2;1;72;1
SW08;2022-08-31;2023-04-11;12.2;2;1;72;1
SW08;2022-08-31;2023-04-11;12.2;2;1;72;1
SW08;2022-08-31;2023-04-11;12.2;2;1;72;0
SW08;2022-08-31;2023-04-11;12.2;2;1;72;0
SW08;2022-08-31;2023-04-11;12.2;2;2;72;1
SW08;2022-08-31;2023-04-11;12.2;2;2;72;1
SW08;2022-08-31;2023-04-11;12.2;2;2;72;1
SW08;2022-08-31;2023-04-11;12.2;2;2;72;1
SW08;2022-08-31;2023-04-11;12.2;2;2;72;0
SW08;2022-08-31;2023-04-11;12.2;2;3;72;1
SW08;2022-08-31;2023-04-11;12.2;2;3;72;1
SW08;2022-08-31;2023-04-11;12.2;2;3;72;1
SW08;2022-08-31;2023-04-11;12.2;2;3;72;1
SW08;2022-08-31;2023-04-11;12.2;2;3;72;0
SW08;2022-08-31;2023-04-11;12.2;3;1;72;1
SW08;2022-08-31;2023-04-11;12.2;3;1;72;1
SW08;2022-08-31;2023-04-11;12.2;3;1;72;1
SW08;2022-08-31;2023-04-11;12.2;3;1;72;1
SW08;2022-08-31;2023-04-11;12.2;3;1;72;1
SW08;2022-08-31;2023-04-11;12.2;3;2;72;1
SW08;2022-08-31;2023-04-11;12.2;3;2;72;1
SW08;2022-08-31;2023-04-11;12.2;3;2;72;1
SW08;2022-08-31;2023-04-11;12.2;3;2;72;1
SW08;2022-08-31;2023-04-11;12.2;3;2;72;0
SW08;2022-08-31;2023-04-11;12.2;3;3;72;1
SW08;2022-08-31;2023-04-11;12.2;3;3;72;1
SW08;2022-08-31;2023-04-11;12.2;3;3;72;1
SW08;2022-08-31;2023-04-11;12.2;3;3;72;1
SW08;2022-08-31;2023-04-11;12.2;3;3;72;1
SW08;2022-08-31;2023-04-11;12.2;5;1;72;1
SW08;2022-08-31;2023-04-11;12.2;5;1;72;1
SW08;2022-08-31;2023-04-11;12.2;5;1;72;1
SW08;2022-08-31;2023-04-11;12.2;5;1;72;1
SW08;2022-08-31;2023-04-11;12.2;5;1;72;1
SW08;2022-08-31;2023-04-11;12.2;5;2;72;1
SW08;2022-08-31;2023-04-11;12.2;5;2;72;1
SW08;2022-08-31;2023-04-11;12.2;5;2;72;1
SW08;2022-08-31;2023-04-11;12.2;5;2;72;1
SW08;2022-08-31;2023-04-11;12.2;5;2;72;1
SW08;2022-08-31;2023-04-11;12.2;5;3;72;1
SW08;2022-08-31;2023-04-11;12.2;5;3;72;1
SW08;2022-08-31;2023-04-11;12.2;5;3;72;1
SW08;2022-08-31;2023-04-11;12.2;5;3;72;1
SW08;2022-08-31;2023-04-11;12.2;5;3;72;1
SW08;2022-08-31;2023-04-11;12.2;15;1;72;1
SW08;2022-08-31;2023-04-11;12.2;15;1;72;1
SW08;2022-08-31;2023-04-11;12.2;15;1;72;1
SW08;2022-08-31;2023-04-11;12.2;15;1;72;1
SW08;2022-08-31;2023-04-11;12.2;15;1;72;1
SW08;2022-08-31;2023-04-11;12.2;15;2;72;1
SW08;2022-08-31;2023-04-11;12.2;15;2;72;1
SW08;2022-08-31;2023-04-11;12.2;15;2;72;1
SW08;2022-08-31;2023-04-11;12.2;15;2;72;1
SW08;2022-08-31;2023-04-11;12.2;15;2;72;1
SW08;2022-08-31;2023-04-11;12.2;15;3;72;1
SW08;2022-08-31;2023-04-11;12.2;15;3;72;1
SW08;2022-08-31;2023-04-11;12.2;15;3;72;1
