Station;Assay_start;Treatment_sal;Replicate;Eggs_unhatched;Nauplii;comments
WH;2023-07-11;5;1;35;28;
WH;2023-07-11;5;2;8;9;
WH;2023-07-11;5;3;17;33;
WH;2023-07-11;5;4;12;26;
WH;2023-07-11;5;5;16;15;
WH;2023-07-11;5;6;5;5;
WH;2023-07-11;10;1;2;2;
WH;2023-07-11;10;2;23;30;
WH;2023-07-11;10;3;1;5;
WH;2023-07-11;10;4;13;36;
WH;2023-07-11;10;5;29;40;
WH;2023-07-11;10;6;10;13;
WH;2023-07-11;15;1;19;41;
WH;2023-07-11;15;2;3;3;
WH;2023-07-11;15;3;4;10;
WH;2023-07-11;15;4;24;32;
WH;2023-07-11;15;5;0;0;
WH;2023-07-11;15;6;22;46;
SW08;2023-07-11;5;1;5;10;
SW08;2023-07-11;5;2;3;10;
SW08;2023-07-11;5;3;11;24;
SW08;2023-07-11;5;4;5;7;
SW08;2023-07-11;5;5;13;30;
SW08;2023-07-11;5;6;11;29;
SW08;2023-07-11;10;1;12;30;
SW08;2023-07-11;10;2;4;30;
SW08;2023-07-11;10;3;4;11;
SW08;2023-07-11;10;4;12;4;
SW08;2023-07-11;10;5;2;12;
SW08;2023-07-11;10;6;2;4;
SW08;2023-07-11;15;1;6;20;
SW08;2023-07-11;15;2;24;27;
SW08;2023-07-11;15;3;4;12;
SW08;2023-07-11;15;4;7;15;
SW08;2023-07-11;15;5;8;30;
SW08;2023-07-11;15;6;11;33;